T	FPT
2.1046046046046047e-05	0.0
2.1081081081081082e-05	0.0
2.1116116116116118e-05	0.0
2.1151151151151153e-05	0.0
2.118618618618619e-05	0.0
2.1221221221221225e-05	0.0
2.1256256256256257e-05	0.0
2.1291291291291293e-05	0.0
2.1326326326326328e-05	0.0
2.1361361361361364e-05	0.0
2.13963963963964e-05	0.0
2.143143143143143e-05	0.0
2.1466466466466467e-05	0.0
2.1501501501501503e-05	0.0
2.153653653653654e-05	0.0
2.1571571571571574e-05	0.0
2.160660660660661e-05	0.0
2.1641641641641642e-05	0.0
2.1676676676676678e-05	0.0
2.1711711711711713e-05	0.0
2.174674674674675e-05	0.0
2.1781781781781785e-05	0.0
2.181681681681682e-05	0.0
2.1851851851851852e-05	0.0
2.1886886886886888e-05	0.0
2.1921921921921924e-05	0.0
2.195695695695696e-05	0.0
2.1991991991991995e-05	0.0
2.202702702702703e-05	0.0
2.2062062062062063e-05	0.0
2.20970970970971e-05	0.0
2.2132132132132134e-05	0.0
2.216716716716717e-05	0.0
2.2202202202202205e-05	0.0
2.2237237237237238e-05	0.0
2.2272272272272273e-05	0.0
2.230730730730731e-05	0.0
2.2342342342342344e-05	0.0
2.237737737737738e-05	0.0
2.2412412412412416e-05	0.0
2.2447447447447448e-05	0.0
2.2482482482482484e-05	0.0
2.251751751751752e-05	0.0
2.2552552552552555e-05	0.0
2.258758758758759e-05	0.0
2.2622622622622626e-05	0.0
2.265765765765766e-05	0.0
2.2692692692692694e-05	0.0
2.272772772772773e-05	0.0
2.2762762762762765e-05	0.0
2.27977977977978e-05	0.0
2.2832832832832837e-05	0.0
2.286786786786787e-05	0.0
2.2902902902902904e-05	0.0
2.293793793793794e-05	0.0
2.2972972972972976e-05	0.0
2.300800800800801e-05	0.0
2.3043043043043044e-05	0.0
2.307807807807808e-05	0.0
2.3113113113113115e-05	0.0
2.314814814814815e-05	0.0
2.3183183183183186e-05	0.0
2.321821821821822e-05	0.0
2.3253253253253254e-05	0.0
2.328828828828829e-05	0.0
2.3323323323323325e-05	0.0
2.335835835835836e-05	0.0
2.3393393393393396e-05	0.0
2.3428428428428432e-05	0.0
2.3463463463463464e-05	0.0
2.34984984984985e-05	0.0
2.3533533533533536e-05	0.0
2.356856856856857e-05	0.0
2.3603603603603607e-05	0.0
2.3638638638638642e-05	0.0
2.3673673673673675e-05	0.0
2.370870870870871e-05	0.0
2.3743743743743746e-05	0.0
2.377877877877878e-05	0.0
2.3813813813813817e-05	0.0
2.384884884884885e-05	0.0
2.3883883883883885e-05	0.0
2.391891891891892e-05	0.0
2.3953953953953956e-05	0.0
2.3988988988988992e-05	0.0
2.4024024024024028e-05	0.0
2.405905905905906e-05	0.0
2.4094094094094095e-05	0.0
2.412912912912913e-05	0.0
2.4164164164164167e-05	0.0
2.4199199199199202e-05	0.0
2.4234234234234238e-05	0.0
2.426926926926927e-05	0.0
2.4304304304304306e-05	0.0
2.433933933933934e-05	0.0
2.4374374374374377e-05	0.0
2.4409409409409413e-05	0.0
2.444444444444445e-05	0.0
2.447947947947948e-05	0.0
2.4514514514514516e-05	0.0
2.4549549549549552e-05	0.0
2.4584584584584587e-05	0.0
2.4619619619619623e-05	0.0
2.4654654654654655e-05	0.0
2.468968968968969e-05	0.0
2.4724724724724727e-05	0.0
2.4759759759759762e-05	0.0
2.4794794794794798e-05	0.0
2.4829829829829833e-05	0.0
2.4864864864864866e-05	0.0
2.48998998998999e-05	0.0
2.4934934934934937e-05	0.0
2.4969969969969973e-05	0.0
2.5005005005005008e-05	0.0
2.5040040040040044e-05	0.0
2.5075075075075076e-05	0.0
2.5110110110110112e-05	0.0
2.5145145145145147e-05	0.0
2.5180180180180183e-05	0.0
2.521521521521522e-05	0.0
2.5250250250250254e-05	0.0
2.5285285285285286e-05	0.0
2.5320320320320322e-05	0.0
2.5355355355355358e-05	0.0
2.5390390390390393e-05	0.0
2.542542542542543e-05	0.0
2.546046046046046e-05	0.0
2.5495495495495497e-05	0.0
2.5530530530530532e-05	0.0
2.5565565565565568e-05	0.0
2.5600600600600604e-05	0.0
2.563563563563564e-05	0.0
2.567067067067067e-05	0.0
2.5705705705705707e-05	0.0
2.5740740740740743e-05	0.0
2.577577577577578e-05	0.0
2.5810810810810814e-05	0.0
2.584584584584585e-05	0.0
2.5880880880880882e-05	0.0
2.5915915915915918e-05	0.0
2.5950950950950953e-05	0.0
2.598598598598599e-05	0.0
2.6021021021021025e-05	0.0
2.605605605605606e-05	0.0
2.6091091091091092e-05	0.0
2.6126126126126128e-05	0.0
2.6161161161161164e-05	0.0
2.61961961961962e-05	0.0
2.6231231231231235e-05	0.0
2.6266266266266267e-05	0.0
2.6301301301301303e-05	0.0
2.633633633633634e-05	0.0
2.6371371371371374e-05	0.0
2.640640640640641e-05	0.0
2.6441441441441445e-05	0.0
2.6476476476476478e-05	0.0
2.6511511511511513e-05	0.0
2.654654654654655e-05	0.0
2.6581581581581584e-05	0.0
2.661661661661662e-05	0.0
2.6651651651651656e-05	0.0
2.6686686686686688e-05	0.0
2.6721721721721724e-05	0.0
2.675675675675676e-05	0.0
2.6791791791791795e-05	0.0
2.682682682682683e-05	0.0
2.6861861861861866e-05	0.0
2.6896896896896898e-05	0.0
2.6931931931931934e-05	0.0
2.696696696696697e-05	0.0
2.7002002002002005e-05	0.0
2.703703703703704e-05	0.0
