# ------------------ First Passage Time Distribution -----------------
TIME	FPTD
4.534844244244244e-09	0.041637141
4.544853353353353e-09	0.041523162
4.554862462462462e-09	0.041409785
4.564871571571571e-09	0.041297004
4.57488068068068e-09	0.041184817
4.5848897897897886e-09	0.041073222
4.5948988988988985e-09	0.040962214
4.604908008008008e-09	0.040851791
4.614917117117117e-09	0.04074195
4.624926226226226e-09	0.040632687
4.634935335335334e-09	0.040524001
4.644944444444444e-09	0.040415886
4.654953553553553e-09	0.040308341
4.664962662662662e-09	0.040201363
4.6749717717717715e-09	0.040094948
4.68498088088088e-09	0.039989093
4.69498998998999e-09	0.039883797
4.704999099099099e-09	0.039779055
4.715008208208207e-09	0.039674864
4.725017317317317e-09	0.039571223
4.7350264264264254e-09	0.039468127
4.745035535535535e-09	0.039365575
4.7550446446446445e-09	0.039263563
4.765053753753753e-09	0.039162088
4.775062862862863e-09	0.039061147
4.785071971971971e-09	0.038960739
4.79508108108108e-09	0.038860859
4.80509019019019e-09	0.038761505
4.8150992992992984e-09	0.038662675
4.825108408408408e-09	0.038564366
4.835117517517517e-09	0.038466574
4.845126626626626e-09	0.038369297
4.855135735735736e-09	0.038272533
4.865144844844844e-09	0.038176279
4.875153953953953e-09	0.038080531
4.885163063063062e-09	0.037985289
4.8951721721721714e-09	0.037890547
4.905181281281281e-09	0.037796305
4.91519039039039e-09	0.037702559
4.925199499499499e-09	0.037609307
4.935208608608608e-09	0.037516547
4.945217717717717e-09	0.037424275
4.955226826826826e-09	0.037332489
4.965235935935935e-09	0.037241186
4.9752450450450444e-09	0.037150365
4.9852541541541536e-09	0.037060021
4.995263263263263e-09	0.036970154
5.005272372372372e-09	0.03688076
5.015281481481481e-09	0.036791837
5.02529059059059e-09	0.036703383
5.035299699699698e-09	0.036615394
5.045308808808808e-09	0.036527869
5.0553179179179174e-09	0.036440805
5.0653270270270266e-09	0.036354199
5.075336136136136e-09	0.036268051
5.085345245245245e-09	0.036182355
5.095354354354354e-09	0.036097111
5.105363463463463e-09	0.036012316
5.115372572572571e-09	0.035927968
5.125381681681681e-09	0.035844064
5.1353907907907904e-09	0.035760602
5.1453998998998996e-09	0.03567758
5.155409009009009e-09	0.035594995
5.165418118118117e-09	0.035512845
5.175427227227227e-09	0.035431128
5.185436336336336e-09	0.035349841
5.195445445445444e-09	0.035268983
5.205454554554554e-09	0.03518855
5.215463663663663e-09	0.035108541
5.2254727727727726e-09	0.035028954
5.235481881881882e-09	0.034949785
5.24549099099099e-09	0.034871035
5.2555001001001e-09	0.034792698
5.265509209209208e-09	0.034714775
5.275518318318317e-09	0.034637261
5.285527427427427e-09	0.034560157
5.295536536536536e-09	0.034483458
5.3055456456456456e-09	0.034407163
5.315554754754754e-09	0.03433127
